Poverty (Persons below poverty) for New York by County,,,,
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2017-2021",,,,
Sorted by Value,,,,
,,,,
County, FIPS,Value (Percent),People (Below Poverty),Rank within US (of 3142 counties)
New York,36000,13.5,2636823,36 of 51
United States,00000,12.6,40661636,N/A
Bronx County,36005,26.5,379954,"3,021"
Kings County,36047,18.8,504813,"2,517"
Broome County,36007,18.7,35372,"2,510"
Franklin County,36033,18.4,7886,"2,477"
Chautauqua County,36013,17.3,21254,"2,320"
Cattaraugus County,36009,17.3,12916,"2,306"
St. Lawrence County,36089,17.1,16570,"2,278"
Tompkins County,36109,16.8,15445,"2,241"
Montgomery County,36057,16.7,8153,"2,217"
Oswego County,36075,16.4,18466,"2,167"
Allegany County,36003,16.3,6768,"2,141"
Schuyler County,36097,15.8,2794,"2,063"
New York County,36061,15.6,252233,"2,019"
Delaware County,36025,15.4,6549,"2,004"
Rockland County,36087,14.9,49451,"1,884"
Fulton County,36035,14.8,7730,"1,851"
Oneida County,36065,14.5,31972,"1,802"
Chemung County,36015,14.5,11574,"1,796"
Sullivan County,36105,14.1,10423,"1,712"
Orleans County,36073,14,5298,"1,694"
Onondaga County,36067,13.8,62845,"1,659"
Erie County,36029,13.8,127528,"1,652"
Monroe County,36055,13.7,99940,"1,627"
Cayuga County,36011,13.5,9705,"1,578"
Yates County,36123,13.2,3111,"1,518"
Ulster County,36111,13.2,22934,"1,505"
Jefferson County,36045,13.1,14531,"1,494"
Herkimer County,36043,13,7754,"1,469"
Cortland County,36023,12.8,5518,"1,410"
Steuben County,36101,12.8,11812,"1,408"
Clinton County,36019,12.7,9217,"1,398"
Niagara County,36063,12.4,25990,"1,331"
Otsego County,36077,12.4,6650,"1,320"
Chenango County,36017,12.2,5674,"1,276"
Schoharie County,36095,12.1,3448,"1,239"
Schenectady County,36093,12,18349,"1,205"
Lewis County,36049,11.9,3147,"1,190"
Washington County,36115,11.9,6893,"1,185"
Seneca County,36099,11.9,3688,"1,184"
Albany County,36001,11.7,34996,"1,146"
Orange County,36071,11.7,45401,"1,142"
Livingston County,36051,11.5,6504,"1,100"
Queens County,36081,11.4,270107,"1,076"
Rensselaer County,36083,11.2,17392,"1,029"
Wayne County,36117,11.2,10079,"1,023"
Genesee County,36037,10.4,5977,854
Richmond County,36085,10.3,50282,830
Greene County,36039,10.2,4580,808
Hamilton County,36041,9.7,487,685
Columbia County,36021,9.7,5791,683
Essex County,36031,9.5,3321,640
Tioga County,36107,9.3,4454,593
Wyoming County,36121,9.2,3495,585
Madison County,36053,9,5665,539
Dutchess County,36027,8.8,24677,507
Ontario County,36069,8.5,9284,457
Westchester County,36119,8.2,80169,415
Warren County,36113,7.9,5151,366
Suffolk County,36103,6.6,99121,190
Saratoga County,36091,6.4,14763,166
Putnam County,36079,6,5842,131
Nassau County,36059,5.5,74930,92
,,,,
,,,,
,,,,
,,,,
Notes:,,,,
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).,,,,
,,,,
